ID,listing_date,type,category,Bedrooms,bathrooms,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,county,view,final_rent_price_usd
57,2024-06-08,house,rent,5.0,3.0,400.0,2,good ,no,2021.0,unknown,,mansour,,2126.6666666666665
58,2024-06-04,adu,rent,3.0,3.0,100.0,3,new,no,2021.0,unknown,,mansour,neighbourhood,1333.3333333333333
59,2024-06-03,house,rent,4.0,3.0,150.0,,new,no,2023.0,unknown,,mansour,neighbourhood,1643.3333333333333
60,2024-06-03,house,rent,4.0,3.0,270.0,2,good,half,2021.0,unknown,,mansour,,1666.6666666666667
61,2024-08-01,apartment,rent,2.0,1.0,100.0,1,good,fully,2023.0,unknown,,mansour,,1000.0
62,2024-07-31,apartment,rent,3.0,2.0,187.0,1,new,half,2023.0,urban,7.0,mansour,,1000.0
63,2024-07-31,apartment,rent,1.0,1.0,80.0,1,good,fully,2021.0,suburb,2.0,mansour,,733.3333333333334
64,2024-07-31,apartment,rent,1.0,1.0,90.0,1,good,fully,2023.0,suburb,1.0,mansour,,870.0
65,2024-07-16,apartment,rent,2.0,1.0,110.0,1,new,no,2021.0,suburb,1.0,mansour,,0.6766666666666666
66,2024-07-29,apartment,rent,3.0,2.0,173.0,1,new,half,2023.0,urban,2.0,mansour,,966.6666666666666
67,2024-07-28,apartment,rent,2.0,1.0,80.0,1,old,no,2021.0,suburb,1.0,mansour,,500.0
68,2024-07-27,apartment,rent,2.0,1.0,80.0,1,new,no,2021.0,suburb,2.0,mansour,,500.0
69,2024-07-26,apartment,rent,2.0,1.0,100.0,1,good,no,2021.0,suburb,1.0,mansour,,766.6666666666666
70,2024-07-25,apartment,rent,2.0,1.0,150.0,1,,no,2021.0,suburb,1.0,mansour,,600.0
71,2024-07-22,apartment,rent,2.0,1.0,90.0,1,new,no,2023.0,suburb,1.0,mansour,,733.3333333333334
72,2024-07-21,apartment,rent,1.0,1.0,65.0,1,good,fully,2021.0,suburb,2.0,mansour,,900.0
73,2024-07-20,apartment,rent,1.0,1.0,75.0,1,old,half,2021.0,suburb,2.0,mansour,,333.3333333333333
74,2024-07-20,apartment,rent,2.0,1.0,100.0,1,good,fully,2021.0,suburb,1.0,mansour,,1063.3333333333333
75,2024-07-20,apartment,rent,1.0,1.0,90.0,1,new,fully,2023.0,suburb,,mansour,,1160.0
76,2024-07-19,apartment,rent,2.0,2.0,200.0,1,new,fully,2023.0,suburb,2.0,mansour,,1546.6666666666667
77,2024-07-18,apartment,rent,2.0,1.0,90.0,1,new,fully,2023.0,suburb,3.0,mansour,,1256.6666666666667
78,2024-07-18,apartment,rent,2.0,1.0,100.0,1,new,no,2023.0,suburb,1.0,mansour,,766.6666666666666
79,2024-07-18,apartment,rent,2.0,1.0,100.0,1,good,fully,2021.0,suburb,2.0,mansour,,900.0
80,2024-07-16,apartment,rent,2.0,1.0,100.0,1,new,no,2023.0,suburb,1.0,mansour,,966.6666666666666
81,2024-07-16,apartment,rent,2.0,1.0,110.0,1,good,fully,2021.0,suburb,1.0,mansour,,1256.6666666666667
82,2024-07-14,apartment,rent,2.0,1.0,100.0,1,new,fully,2021.0,suburb,1.0,mansour,,1160.0
83,2024-07-14,apartment,rent,2.0,1.0,100.0,1,new,fully,2023.0,suburb,2.0,mansour,,1546.6666666666667
84,2024-07-13,apartment,rent,2.0,1.0,160.0,1,good,no,2021.0,suburb,2.0,mansour,,800.0
85,2024-07-13,apartment,rent,2.0,1.0,120.0,1,,half,2021.0,suburb,2.0,mansour,,700.0
86,2024-08-01,apartment,rent,2.0,1.0,100.0,1,good,fully,2021.0,suburb,1.0,mansour,,1300.0
87,2024-07-11,apartment,rent,3.0,2.0,200.0,1,new,half,2023.0,suburb,1.0,mansour,,1500.0
88,2024-07-11,apartment,rent,2.0,2.0,100.0,1,new,fully,2023.0,suburb,0.0,mansour,,1200.0
89,2024-07-09,apartment,rent,3.0,2.0,200.0,1,new,half,2023.0,suburb,1.0,mansour,north,1450.0
90,2024-07-09,apartment,rent,2.0,1.0,100.0,1,new,fully,2023.0,suburb,1.0,mansour,,1450.0
91,2024-07-09,apartment,rent,2.0,1.0,150.0,1,new,no,2023.0,suburb,0.0,mansour,north,666.6666666666666
92,2024-07-08,apartment,rent,2.0,1.0,110.0,1,new,no,2023.0,suburb,2.0,mansour,,600.0
93,2024-07-06,apartment,rent,2.0,1.0,100.0,1,new,fully,2021.0,suburb,0.0,mansour,north,1200.0
94,2024-07-05,apartment,rent,3.0,2.0,187.0,1,new,half,2023.0,urban,7.0,mansour,north,966.6666666666666
95,2024-07-05,apartment,rent,1.0,1.0,80.0,1,,fully,2017.0,suburb,1.0,mansour,,566.6666666666666
96,2024-07-02,apartment,rent,2.0,1.0,200.0,1,,no,2021.0,suburb,2.0,mansour,,773.3333333333334
97,2024-06-26,apartment,rent,4.0,1.0,160.0,`,,no,2004.0,suburb,1.0,mansour,,433.3333333333333
98,2024-06-26,apartment,rent,1.0,1.0,108.0,1,new,no,2021.0,suburb,,mansour,neighbourhood,800.0
99,2024-06-25,apartment,rent,2.0,1.0,100.0,1,new,fully,2021.0,suburb,1.0,mansour,west,1200.0
100,2024-06-24,apartment,rent,1.0,2.0,50.0,1,new,no,2021.0,suburb,3.0,mansour,,533.3333333333334
101,2024-06-24,apartment,rent,2.0,1.0,150.0,1,,,,suburb,,mansour,,666.6666666666666
102,2024-06-21,apartment,rent,2.0,1.0,120.0,1,,,,suburb,,mansour,,900.0
103,2024-06-14,apartment,rent,2.0,2.0,125.0,1,new,no,2023.0,suburb,1.0,mansour,north,800.0
104,2024-06-12,apartment,rent,2.0,1.0,123.0,1,new,,2023.0,suburb,,mansour,,666.6666666666666
105,2024-06-12,apartment,rent,2.0,1.0,1001.0,1,new,,2023.0,suburb,1.0,mansour,north,1300.0
106,2024-08-20,apartment,rent,3.0,1.0,200.0,1,new,no,2023.0,suburb,0.0,mansour,north,1200.0
107,2024-08-20,apartment,rent,1.0,1.0,70.0,1,,fully,2023.0,suburb,1.0,mansour,,870.0
108,2024-08-19,apartment,rent,2.0,1.0,120.0,1,good,no,2021.0,suburb,1.0,mansour,north,733.3333333333334
109,2024-08-18,apartment,rent,2.0,2.0,100.0,1,,no,2023.0,suburb,2.0,mansour,north,600.0
110,2024-08-17,apartment,rent,3.0,2.0,150.0,1,new,half,2021.0,suburb,1.0,mansour,north,1300.0
111,2024-08-17,apartment,rent,3.0,1.0,180.0,1,new,no,2021.0,suburb,2.0,mansour,,966.6666666666666
112,2024-08-17,apartment,rent,2.0,1.0,100.0,1,good,no,2017.0,suburb,1.0,mansour,,666.6666666666666
113,2024-08-17,apartment,rent,1.0,1.0,50.0,1,,no,2021.0,suburb,0.0,mansour,east,733.3333333333334
114,2024-08-15,apartment,rent,2.0,2.0,100.0,1,good,fully,2021.0,suburb,1.0,mansour,,1200.0
115,2024-08-14,apartment,rent,3.0,1.0,200.0,1,new,no,2023.0,suburb,1.0,mansour,north,1200.0
116,2024-08-14,apartment,rent,2.0,1.0,200.0,1,new,no,2021.0,suburb,1.0,mansour,north,666.6666666666666
117,2024-08-08,apartment,rent,2.0,1.0,100.0,1,good,half,2021.0,suburb,2.0,mansour,north,566.6666666666666
118,2024-08-08,apartment,rent,2.0,2.0,100.0,1,new,fully,2021.0,suburb,1.0,mansour,,966.6666666666666
119,2024-09-10,apartment,rent,3.0,1.0,200.0,1,new,no,2023.0,suburb,1.0,mansour,north,900.0
120,2024-09-09,apartment,rent,3.0,2.0,200.0,1,new,half,2023.0,suburb,1.0,mansour,north,1500.0
121,2024-09-09,apartment,rent,2.0,2.0,100.0,1,new,fully,2023.0,suburb,0.0,mansour,north,1200.0
122,2024-09-05,apartment,rent,3.0,2.0,200.0,1,new,half,2023.0,suburb,1.0,mansour,north,1450.0
123,2024-09-05,apartment,rent,2.0,1.0,162.0,1,new,no,2023.0,suburb,0.0,mansour,,900.0
124,2024-09-01,apartment,rent,2.0,1.0,150.0,1,good,no,2021.0,suburb,1.0,mansour,north,773.3333333333334
125,2024-09-01,apartment,rent,1.0,1.0,72.0,1,good,no,2021.0,suburb,0.0,mansour,north,533.3333333333334
126,2024-09-10,adu,rent,3.0,1.0,200.0,1,new,no,2021.0,suburb,1.0,mansour,,900.0
127,2024-08-29,apartment,rent,1.0,1.0,90.0,1,good,fully,2023.0,suburb,0.0,mansour,,870.0
128,2024-08-29,apartment,rent,2.0,1.0,100.0,1,good,half,2021.0,suburb,0.0,mansour,north,600.0
129,2024-08-28,apartment,rent,3.0,2.0,187.0,1,new,half,2023.0,urban,7.0,mansour,north,966.6666666666666
130,2024-08-28,apartment,rent,,1.0,50.0,1,new,no,2023.0,suburb,3.0,mansour,,483.3333333333333
131,2024-08-28,apartment,rent,2.0,1.0,120.0,1,new,no,2023.0,suburb,1.0,mansour,north,900.0
132,2024-08-28,apartment,rent,2.0,1.0,140.0,1,new,no,2023.0,suburb,1.0,mansour,north,666.6666666666666
133,2024-08-22,apartment,rent,1.0,1.0,50.0,1,,no,2021.0,suburb,0.0,mansour,east,733.3333333333334
134,2024-08-20,apartment,rent,2.0,1.0,100.0,1,new,no,2023.0,suburb,0.0,mansour,,666.7333333333333
135,2024-08-18,apartment,rent,2.0,1.0,120.0,1,good,no,2021.0,suburb,0.0,mansour,north,733.3333333333334
136,2024-08-28,apartment,rent,2.0,2.0,150.0,3,new,half,2021.0,suburb,1.0,mansour,north,1300.0
137,2024-08-17,apartment,rent,2.0,1.0,100.0,1,good,no,2017.0,suburb,1.0,mansour,west,666.6666666666666
138,2024-08-28,adu,rent,2.0,2.0,150.0,2,good,no,2021.0,suburb,,mansour,north,1300.0
139,2024-09-10,adu,rent,3.0,3.0,80.0,,new,no,2021.0,suburb,,mansour,north,1000.0
140,2024-09-10,house,rent,5.0,5.0,360.0,,good,no,2004.0,suburb,,mansour,west,1866.6666666666667
141,2024-09-10,house,rent,3.0,2.0,300.0,2,new,no,2023.0,suburb,,mansour,north,1546.6666666666667
142,2024-09-05,adu,rent,2.0,2.0,150.0,2,new,no,2021.0,suburb,,mansour,north,1300.0
143,2024-08-23,house,rent,5.0,3.0,210.0,2,good,no,2009.0,suburb,,mansour,,2000.0
144,2024-08-23,house,rent,3.0,3.0,200.0,2,new,no,2021.0,suburb,,mansour,,1333.3333333333333
145,2024-08-23,adu,rent,2.0,2.0,65.0,2,new,no,2023.0,suburb,,mansour,north,666.6666666666666
146,2024-08-21,house,rent,4.0,3.0,300.0,2,good,no,2021.0,suburb,,mansour,,2900.0
147,2024-08-20,house,rent,3.0,3.0,150.0,3,good,no,2021.0,suburb,,mansour,west,773.3333333333334
148,,apartment,rent,2.0,1.0,100.0,,good,no,,suburb,,mansour,,500.0
151,2024-08-23,house,rent,,,,,,,,suburb,,mansour,,
152,2024-08-23,house,rent,,,,,,,,suburb,,mansour,,
153,2024-08-23,house,rent,,,,,,,,unknown,,mansour,,
154,2024-08-23,house,rent,,,,,,,,unknown,,mansour,,
